Unnamed: 0,cand_name,year,election_type,state,district,party,incumbency_status,race_outcome,contributions,percentage_votes,in_db,campaign_site,campaign_facebook,campaign_x,campaign_instagram,personal_website,personal_facebook,personal_linkedin
80,MICHAEL MAHER,2024,federal:house,CA,21,REPUBLICAN,unknown,Lost,unknown,0.474262393,True,https://www.maherforsenate.com/,https://www.facebook.com/MaherForSenate,https://x.com/maherforsenate,https://www.instagram.com/maherforsenate,,https://www.facebook.com/grizzlymaher,https://www.linkedin.com/in/michael-maher-aviation-executive/
81,DAVID G. VALADAO,2024,federal:house,CA,22,REPUBLICAN,unknown,Won,unknown,0.534210511,False,https://valadaoforcongress.com,https://www.facebook.com/ValadaoforCongress/,,,,https://www.facebook.com/dvaladao,https://www.linkedin.com/in/david-valadao-7142b2180/
82,RUDY SALAS,2024,federal:house,CA,22,DEMOCRAT,unknown,Lost,unknown,0.465789489,True,http://rudysalas.com,,,,,,
83,JAY OBERNOLTE,2024,federal:house,CA,23,REPUBLICAN,unknown,Won,unknown,0.601421942,True,http://electjay.com,,,,,,
84,DEREK MARSHALL,2024,federal:house,CA,23,DEMOCRAT,unknown,Lost,unknown,0.398578058,True,https://www.derekmarshallca.com/,,,,,,
85,SALUD O. CARBAJAL,2024,federal:house,CA,24,DEMOCRAT,unknown,Won,unknown,0.626969829,False,https://www.saludcarbajal.com,https://www.facebook.com/CarbajalForCongress/,https://x.com/carbajalsalud,,,https://www.facebook.com/salud.carbajal,
86,THOMAS COLE,2024,federal:house,CA,24,REPUBLICAN,unknown,Lost,unknown,0.373030171,True,https://www.katemurrayfornh.us,https://www.facebook.com/profile.php?id=100063738924631,,,,,https://www.linkedin.com/in/kate-murray-6011b428/
87,RAUL RUIZ,2024,federal:house,CA,25,DEMOCRAT,unknown,Won,unknown,0.562528823,True,http://drraulruiz.com,,,,,,
88,IAN M. WEEKS,2024,federal:house,CA,25,REPUBLICAN,unknown,Lost,unknown,0.437471177,False,https://www.ourcampaigns.com/CandidateDetail.html?CandidateID=554821,,,,,,
89,JULIA BROWNLEY,2024,federal:house,CA,26,DEMOCRAT,unknown,Won,unknown,0.560543335,True,http://juliabrownley.com,,,,,,
90,MICHAEL KOSLOW,2024,federal:house,CA,26,REPUBLICAN,unknown,Lost,unknown,0.439456665,True,https://www.votemichaelkoslow.com,https://www.facebook.com/people/Michael-Koslow-For-Congress/100095280768502/,https://x.com/koslow4congress,https://www.instagram.com/mikekoslow/,,https://www.facebook.com/michael.s.koslow,https://www.linkedin.com/in/michaelskoslow
91,GEORGE WHITESIDES,2024,federal:house,CA,27,DEMOCRAT,unknown,Won,unknown,0.513312673,True,http://georgewhitesides.com,,,,,,
92,MIKE GARCIA,2024,federal:house,CA,27,REPUBLICAN,unknown,Lost,unknown,0.486687327,True,https://www.electmikegarcia.com/,,,,,,
93,JUDY CHU,2024,federal:house,CA,28,DEMOCRAT,unknown,Won,unknown,0.649286857,True,http://judychu.org,,,,,,
